name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,description
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,female,Zolan,Clawdite,"Zam Wesell (pronounced /zæm.w?z??l/ or /zæm.?w?s•?l/) was a shapeshifting Clawdite bounty hunter from the planet Zolan. In her true form, Wesell was a reptilian-like humanoid, although she often appeared as a Human woman with short blonde or bronze-colored hair. She trained in the ways of the Mabari warriors on her homeworld before eventually being labeled a heretic and fleeing to the commercial center of Denon. To escape, Wesell took the form of a human woman and took a job in personal security. Over time, she moved up through the ranks by honing her skills, gathering equipment, garnering finances and making valuable contacts which altogether allowed her to begin a career in bounty hunting.
Wesell first encountered the bounty hunter Jango Fett in 32 BBY during his search for Bando Gora outlaw leader Komari Vosa. After assisting Fett in his scheme to defeat Vosa, the two began to develop a friendship that was propagated by their periodic partnership on various contracts. One such contract arose in 27 BBY when the two bounty hunters were seeking the Infant of Shaa ancient artifact and superweapon on behalf of the Dug Fernooda. Originally pitted against each other, the pair agreed to work together to capture the idol. It was then revealed to Wesell that a seedy underworld general planned to use it to destroy the Republic capital world of Coruscant. At Wesell's lead, Fett joined in the hunt to retrieve the artifact and save Coruscant. During this incident, Wesell made use of her developed shapeshifting abilities. This skill was also employed in her other exploits, such as the hunt for Kuati Hurlo Holowan, which was subcontracted by Jango Fett.
In 22 BBY, with the rise of the Separatist Crisis, Confederate leader Count Dooku contracted Jango Fett to eliminate Senator Padmé Amidala on behalf of Nute Gunray. In turn, Fett subcontracted the bounty to Wesell, who attempted to kill the senator by destroying the senator's starship with an explosive device. The explosion, however, only served to kill Amidala's decoy and other passengers aboard the vessel. Amidala had arrived separately on another ship and was unscathed by the blast. Not pleased, but undeterred, Wesell met with Fett and schemed to use two venomous arthropods to kill the vulnerable senator. The attempt was foiled, however, by the alert presence of Jedi Anakin Skywalker and Obi-Wan Kenobi who had been stationed in the senator's apartment. The Jedi easily killed the arthropods and Kenobi leaped through the apartment window to grab hold of the droid which Wesell had used to deliver the predators.
The droid began its return to Wesell, but the bounty hunter spotted the stowaway Jedi. Skywalker, at the same time, commandeered an airspeeder and began pursuit. After chasing Wesell through the skylanes of Coruscant, Skywalker was able to force the Clawdite to crash her airspeeder in a busy street of the Uscru Entertainment District. Wesell fled into a nearby locale and prepared to ambush the Jedi. She approached Kenobi from behind but was easily defeated and dragged from the club into a neighboring alley. There, she was silenced by her friend, Jango Fett, with a toxic dart before she could divulge his identity."
Dexter Jettster,198,102,none,brown,yellow,NA,male,Ojom,Besalisk,"Dexter ""Dex"" Jettster, nicknamed Dexi Jet, was a male Besalisk with a colorful background who lived on the planet Coruscant and was the owner of Dex's Diner. Serving mostly hard workers from the area, the diner offered home-style cooked meals and freshly brewed ardees (""Jawa juice""). Jettster worked as the cook and employed two waitresses, Hermione Bagwa and her WA-7 waitress droid partner, FLO.
It was shortly before the Clone Wars that Jedi Knight Obi-Wan Kenobi came to Dex's Diner to see if his old friend, Jettster, could identify a poisoned dart. Though few even knew of the planet Kamino, Jettster did from his days as a prospector on Subterrel and was able to identify the dart as originating from Kamino. Furthermore, he knew of the native inhabitants, the Kaminoans, who were cloners of some repute and kept to themselves but were welcoming to those who brought credits. Jettster gently chided his old friend Kenobi who as a Jedi should have put more faith in another person's wisdom than the knowledge of the Jedi Archives."
Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan,"Lama Su was a male Kaminoan who hailed from a race of expert cloners on the planet Kamino. As Prime Minister, he personally oversaw the creation of the clone troopers—the new army of the Galactic Republic—from Tipoca City, the capital of his homeworld. Although Kamino's contribution to the Republic Military gained Lama Su's people a seat in the Galactic Senate during the Clone Wars, their actions were also partially responsible for the systematic extermination of the Jedi Order and the rise of Darth Sidious's Galactic Empire."
Taun We,213,NA,none,grey,black,NA,female,Kamino,Kaminoan,"Taun We was a female Kaminoan who hailed from Kamino, an extragalactic world noted for its major cloning facilities. As the administrative aide of Prime Minister Lama Su, she was closely involved in the creation of the clone troopers, an army of elite soldiers bred to serve the Galactic Republic.
Approximately ten years before the Battle of Geonosis, Taun We and her people were hired by Jedi Master Sifo-Dyas to create a clone army for the Galactic Republic. In addition to her duties as administrative aide to Prime Minister Lama Su of Kamino, she also served as Project Coordinator for the Republic clone troopers. She closely monitored the development of the rank-and-file soldiers, as well as the training of a special unit known as clone commandos.
During the accelerated growth and training process of the clone troopers, Taun We also acted as a guardian to Boba Fett, an unmodified clone of Jango Fett, the bounty hunter who had been selected to become the army's template. Whereas Fett felt no emotional sentiments toward the rest of his copies, he regarded Boba as the only ""true clone;"" a son to be raised and cared for. With only two other female influences—MU-12 and Zam Wesell—in Boba's life, Taun We became a virtual ""surrogate mother"" to Fett's son."
Jocasta Nu,167,NA,white,fair,blue,NA,female,Coruscant,Human,"Jocasta Nu, a Force-sensitive human female, was a Jedi Master who served as the Chief Librarian of the Jedi Archives during the Clone Wars. In this role, Nu would assist fellow Jedi in finding information they needed from the Jedi Archives, and controlled access to the restricted Holocron Vault. Sometime prior to the Invasion of Naboo, Nu sat on the Jedi Council. Shortly before the war, she assisted Obi-Wan Kenobi in his attempt to locate the planet Kamino in the Archives. After not finding any information, and Nu's insistence that any item that did not appear in the Archives did not exist, it was determined that information about Kamino had been erased from Jedi records. During the war, Nu was attacked by bounty hunter Cato Parasitti, who was helping Cad Bane steal a holocron from the Holocron Vault. She later assisted Ahsoka Tano in finding the thief who stole the Padawan's lightsaber.

After the fall of the Jedi Order and the Galactic Republic, and the rise of the Galactic Empire in their place, Nu survived the purge of the Jedi unlike many of her fellows and went into hiding, all the while attempting to preserve what she could of the Jedi. Determined to put a permanent end to the Jedi, the newly crowned Emperor dispatched his agents in the form of Darth Vader and the Inquisitorius to hunt her down, a hunt which culminated with Nu's death at the hands of Vader."
Ratts Tyerell,79,15,none,"grey, blue",NA,NA,male,Aleen Minor,Aleena,"Ratts Tyerell was an Aleena podracer pilot who flew a massive podracer during the Boonta Eve Classic podrace which took place during the Invasion of Naboo. Tyerell had a drive to beat the reigning champion, the Dug, Sebulba. During the race, Tyerell flew into the Laguna Caves, where his accelerator jammed. Unable to control his podracer, the little Aleena could only throw his arms into the air and scream as he fatally collided with a stalactite. His family was reportedly seen mourning after the race's conclusion.
A male Aleena from the planet of Aleen, the diminutive Ratts Tyerell took on the role of a professional podracer pilot, making up for his small stature with a podracer with large, oversized engines. Utilizing a team of Aleena mechanics, Tyerell toured alongside his family. Tyerell's profession earned him immense popularity on his homeworld, and was sometimes considered to be Aleen's most famous native. A small toy based off of Tyerell's podracer was also produced at some point. Tyerell eventually headed to the Outer Rim planet of Tatooine to participate in the world's largest annual podrace, the Boonta Eve Classic. The race was concurrent with an invasion on the neighboring planet of Naboo. Only a little while before the race, Tyerell's wife gave birth to a third child, a fact that eventually found its way to the race commentators Fode and Beed"
R4-P17,96,NA,none,"silver, red","red, blue",NA,female,NA,NA,"R4-P17, nicknamed R4, was a feminine R4-P astromech droid that was assigned to Jedi Master Obi-Wan Kenobi, prior to and throughout the Clone Wars. She was destroyed by a buzz droid during the Battle of Coruscant.
R4-P17 was manufactured by Industrial Automaton sometime prior to the Clone Wars. A model of the R4-P sub-line of the R4 astromech, the feminine astromech droid accompanied Jedi Master Obi-Wan Kenobi to Kamino and Geonosis as the Jedi sought to uncover the mysteries behind the assassination attempts on Naboo senator Padmé Amidala that occured on the galactic capital Coruscant.
During the final days of the Clone Wars, R4-P17 joined Obi-Wan Kenobi once again aboard his Eta-2 Actis-class light interceptor in a battle above Coruscant. During the battle, Jedi Knights Obi-Wan Kenobi and Anakin Skywalker approached Separatist General Grievous' flagship, the Invisible Hand, in an attempt to rescue the kidnapped Supreme Chancellor Palpatine. As the two Jedi neared the flagship they encountered attacks from Pistoeka sabotage droids; during the attack, R4's dome was torn apart by a buzz droid, ending her career.
She was later replaced by R4-G9 as Kenobi's companion droid during his travel to the planet Utapau."
Wat Tambor,193,48,none,"green, grey",NA,NA,male,Skako,Skakoan,"Wat Tambor was a male Skakoan who was the foreman of the Techno Union and an executive of Baktoid Armor Workshop. During the Separatist Crisis, he pledged the Techno Union's resources to the Confederacy of Independent Systems, earning himself a seat on the Separatist Council during the Clone Wars. In the conflict's early stages, Tambor was appointed emir of Ryloth and supervised its occupation by the Separatists, which was fiercely resisted by local Twi'lek freedom fighters led by Cham Syndulla. After defying orders to abandon Ryloth when the tide of battle turned against the Separatists, Tambor was left behind and captured by the Galactic Republic. He was briefly imprisoned on Coruscant before being liberated later in the conflict.

As the Clone Wars escalated, Wat Tambor took an interest in the captive ARC trooper CT-1409, who had been captured during a battle in the Citadel but was presumed dead by the Republic. Tambor kept an unconscious Echo in a stasis chamber and managed to extract information from Echo's mind to use as an algorithm consisting of strategies devised by Echo and the Clone Captain CT-7567. While officially professing the Techno Union's neutrality, Tambor had sold the algorithm to the Separatist Admiral Trench, who used it to great effect during the Battle of Anaxes to invade the Republic world of Anaxes. Tambor's dealings with the Separatists were exposed by a Republic infiltration team consisting of Rex, Clone Force 99, and the Jedi Knight Anakin Skywalker.

During the final days of the Clone Wars, Wat Tambor and the rest of the Separatist Council relocated from the planet Utapau to Mustafar, where they were slaughtered by Darth Vader. Following his demise, the newly-formed Galactic Empire assumed control of the Techno Union's assets."
San Hill,191,NA,none,grey,gold,NA,male,Muunilinst,Muun,"San Hill was a male Muun and Chairman of the InterGalactic Banking Clan during the Clone Wars. He pledged the support of the Banking Clan to the Confederacy of Independent Systems and served as the financial cartel's representative on the Separatist Council. Hill was slaughtered by Darth Vader on Mustafar following the end of the Clone Wars.
A male Muun from the planet Scipio, San Hill was the Chairman of the InterGalactic Banking Clan. On the onset of the Clone Wars, Hill attended a secret meeting on Geonosis and signed a treaty with the Confederacy of Independent Systems, pledging the Banking Clan's financial and military assets to the movement, with Hill serving as the financial cartel's representative on the Separatist Council. During the final days of the Clone Wars, Hill, along with the other Separatist leaders, moved from Utapau to Mustafar where they were all killed by Darth Vader."
Shaak Ti,178,57,none,"red, blue, white",black,NA,female,Shili,Togruta,"Shaak Ti was a Togruta Jedi Master and member of the Jedi Order and Jedi High Council in the waning years of the Galactic Republic. Considered to be amongst the wisest and most patient in the Order, she was a skilled fighter and devoted believer in the ways of the Jedi. During the Clone Wars, a galaxy-wide conflict between the Republic and the Confederacy of Independent Systems, Ti took part in the pivotal battles of Geonosis, Kamino, and Coruscant as a general for the Grand Army of the Republic.

Early in the Clone Wars, she was chosen to represent the Republic on Kamino, where she personally oversaw the training and development of clone forces. While in this role, she became entangled in a conspiracy surrounding the origins of the organic inhibitor chips placed in every clone, and the secrets being kept from the Jedi about them. As she attempted to root out the conspiracy from ARC Trooper Fives, she clashed with Kaminoan Chief Medical Scientist Nala Se, who was attempting to dispel his claims regarding the chips' true purpose. Despite her efforts to the contrary, Ti was unable to help Fives as he suffered a breakdown, and upon his death, his secrets passed on to only a few. Ti had a tenuous relationship with the Kaminoan leadership during this time, finding difficulty in working with their emotionless demeanor and struggling to balance her compassion for the clones with the demand of producing capable soldiers for war.

As the war began to draw to a close, Ti and the Council became increasingly aware of the mystery behind the Dark Lord of the Sith, devoting much time to discovering their identity and motives. During the Battle of Coruscant in the late stages of the Clone Wars, Ti was sent to protect Supreme Chancellor Sheev Palpatine but was knocked unconscious in a duel with Separatist General Grievous. At the war's end Ti became a victim of the Great Jedi Purge, murdered at the hands of fallen Jedi Anakin Skywalker whilst she meditated during the Siege of the Jedi Temple. Prior to her death Ti recorded a message of hope on a holocron, urging its finder to not let the fall of the Order be the end of the Jedi."
Grievous,216,159,none,"brown, white","green, yellow",NA,male,Kalee,Kaleesh,"Grievous, formerly known as Qymaen jai Sheelal, was a Kaleesh male warlord who served as a commanding officer in the military forces of the Confederacy of Independent Systems during the last years of the Galactic Republic. Although he was known by his rank as a general, Grievous was the Supreme Commander of the Separatist Droid Army that engaged the Grand Army of the Republic throughout the pan-galactic conflict of the Clone Wars. Noted for his ruthlessness and extensive cybernetic enhancements, Grievous inspired fear as he traveled across the galaxy, invading entire worlds and engaging the Jedi Knights of the Republic.

A native of the planet Kalee, Grievous sustained severe injuries that required extensive repair by the time of the Clone Wars. Willingly submitting to a procedure that rendered him more mechanical than organic, he became a living weapon, granting him lightning-quick reflexes and devastating strength. Although he was neither Jedi or Sith, nor even sensitive to the power of the Force, Grievous was a skilled lightsaber duelist, having trained in the art of the lightsaber under the fallen Jedi Master-turned-Sith Lord Count Dooku. Known for his hatred of the Jedi Order, Grievous killed Jedi over the course of the war, and would claim their lightsabers both as trophies and weapons to be used against other opponents, be they Jedi or clone troopers.

In addition to his combat skills, Grievous was a brilliant military strategist who oversaw multiple campaigns throughout the Clone Wars—from the Battle of Kamino, where he failed to halt the production line of clone troopers; to the Battle of Dathomir, where his battle droids massacred the Nightsisters led by the witch Mother Talzin. In 19 BBY, Grievous launched a daring raid on Coruscant, the Republic capital world, resulting in the abduction of Supreme Chancellor Sheev Palpatine. However, the Jedi succeeded in rescuing the Chancellor while driving back the Separatist invaders. Following the loss of Dooku, Grievous and his army went into hiding in the Outer Rim Territories. Unknown to Grievous, his master, the Sith Lord Darth Sidious, betrayed the general's location to the Jedi Order, allowing them to invade the planet Utapau in an effort to bring a swift and decisive conclusion to the war. As a result, Grievous was ultimately slain by his nemesis, Jedi General Obi-Wan Kenobi, whose 212th Attack Battalion went on to secure Utapau even as Order 66 went into effect, marking the fall of the Republic and the rise of the Galactic Empire."
Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee,"Tarfful was a male Wookiee chieftain and general who helped defend his native planet Kashyyyk during the Clone Wars. During the war, he led a band of Wookiees to answer a distress signal made by Chewbacca, who was imprisoned on the Trandoshan hunting grounds of Wasskah. Tarfful later participated in the Battle of Kashyyyk alongside Chewbacca and Jedi Master Yoda. In the wake of Order 66 and the rise of the Galactic Empire, Tarrful helped facilitate Yoda's escape and continued fighting against the tyranny of the Empire in the following years. At some point prior to the Great Jedi Purge, Tarfful met and befriended Jedi Master Eno Cordova, and helped him navigate Kashyyyk to learn about Zeffo culture. A male Wookiee native to his species's homeworld of Kashyyyk, Tarfful served as the chieftain of the coastal city Kachirho at the time of the Clone Wars. He also held the rank of general among his people. One standard year into the war, one of Tarfful's fellow Wookiees, Chewbacca, was captured by Trandoshans and taken to Wasskah to be hunted for sport. There, Chewbacca managed to build a device which sent a distress signal to Kashyyyk. Upon hearing of his friend's situation, Tarfful hired the bounty hunters Sugi and Seripas to transport him and a group of his most trusted warriors to Wasskah. Once there, the chieftain and his men made quick work of the Trandoshans and rescued Chewbacca, as well as Jedi younglings Ahsoka Tano, Jinx, and O-Mer. At one point, Tarfful was captured by Trandoshan slavers who had made a deal with Count Dooku, but he was rescued by a squad of clone commandos soon after. Tarfful took part in the Battle of Kashyyyk alongside Chewbacca and Jedi Generals Yoda, Luminara Unduli and Quinlan Vos. Aided by the Grand Army of the Republic, he led a local militia against the invading Separatist droid forces. Following the implementation of Order 66, Tarfful and Chewbacca helped Yoda elude the clone troopers and escape from the planet. In the wake of the Galactic Empire's rise, Tarrful's anti-Imperial stance made him a wanted criminal, forcing him to take shelter in the Shadowlands. In 14 BBY, Saw Gerrera's rebel cell, the Partisans, agreed to help Cal Kestis and the crew of the Stinger Mantis track down Tarfful, as the Wookiee chieftan was aware of information that could aid the Jedi Padawan in locating a Jedi holocron containing a list of names of several Force-sensitive children. After locating Tarfful in the Shadowlands, the majority of the Partisans evacuated Kashyyyk, whilst Wookiee Commander Choyyssyk and Partisan Mari Kosan remained with Tarfful. Tarfful later provided the information Kestis was seeking upon the Padawan's return to Kashyyyk."
Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human,"Raymus Antilles was a male Human and the captain of the corvette Sundered Heart at the time of the Clone Wars and the Galactic Civil War. He served the Royal Alderaan Civil Fleet under Senator Bail Prestor Organa. During the early stages of the Civil War, he served the Rebel Alliance in the fight against the Galactic Empire. He captained the Alderaan Diplomatic Cruiser Tantive IV before his death in 0 BBY at the hands of Darth Vader.
"
Sly Moore,178,48,none,pale,white,NA,female,Umbara,NA,"Sly Moore was a female Umbaran Force Adept who was employed by Supreme Chancellor Palpatine as his Senior Administrative Aide during the final decades of the Galactic Republic. In secret, Moore was also an acolyte of the dark side, trained in the ways of the Force by Palpatine, who was in truth the Dark Lord of the Sith Darth Sidious.

Following Sidious' Declaration of a New Order, Moore became one of the first members of the Imperial Ruling Council and gained the sobriquet ""Queen of the Empire"" from the holomedia, with rumors spreading that she and the Emperor shared a relationship. She oversaw a series of experiments on Byss studying the spontaneous generation of life, which produced the future Imperial warlord Trioculus. Moore disappeared shortly into the Empire's reign, and was rumored to have died in seclusion in the Ghost Nebula after giving birth to Palpatine's biological son Triclops."
Tion Medon,206,80,none,grey,black,NA,male,Utapau,Pau'an,"Tion Medon was a male Pau'an and the Master of Port Administration of Utapau. A gaunt, gray-skinned humanoid, Tion Medon wore elaborate red robes and carried an ornate staff of office. He assisted Obi-Wan Kenobi during the late Clone Wars.
A member of the tall, thin Pau'an species, Tion Medon had an unsettling appearance to some, with glassy, sunken black eyes and a mouth of crooked teeth. However, appearances were deceptive, as Tion Medon was an accommodating, helpful being. As Port Administrator of his sinkhole sanctuary of Pau City, Tion welcomed guests, offering them his services.
Longevity came naturally to the Pau'ans, and Tion Medon had been Master of Port Administration for Pau City for more than 200-standard years by the time of the Clone Wars. Tion was a descendant of Timon Medon, who was credited with unifying Utapau. Like all Pau'ans, Tion preferred darkness to sunlight, and raw meat to cooked.
In the final weeks of the Clone Wars, Tion Medon was forced to accommodate General Grievous and his associates in his sanctuary. Grievous threatened to destroy Medon's city if he did not assist, or if he were to bring in aid from the Galactic Republic. Medon had no choice but to allow the Separatists to use his sanctuary as their base of operations.
Fortunately for the Administrator, help arrived of its own accord, in the form of Jedi Master Obi-Wan Kenobi. Despite General Grievous's threats, Tion Medon welcomed Kenobi to the spaceport, and discreetly divulged helpful information pertaining to the Separatist presence on Utapau. Kenobi, sent by the Jedi Council to track down General Grievous, was able to seek and destroy the Separatist Supreme Commander with Tion Medon's help."
Finn,178,73,black,dark,dark,NA,male,NA,Human,"Finn, formerly designated FN-2187 (""Eight-Seven""), was a Force-sensitive human male stormtrooper who served the First Order until his desertion and subsequent defection to the Resistance during the First Order–Resistance war. Though trained since birth to be a loyal and obedient soldier, FN-2187's conscience conflicted with the methods of the First Order. For a time he was unwilling to support the Resistance, hoping to escape the galactic conflict instead of fighting for a cause he believed was doomed to fail. As the galaxy became consumed by war, the renegade trooper was ultimately forced to decide where his true loyalties lay.

Born in 11 ABY during the New Republic Era, FN-2187 was part of a new generation of stormtroopers—human children conscripted into the military forces of the First Order—modeled on the Republic clone troopers and Imperial stormtroopers of the past. He originally trained with Batch Eight before joining the FN Corps, a sub-branch of the Stormtrooper Corps, and although his potential was recognized by his commanding officers, FN-2187 lacked the ruthlessness that had become common in the ranks under the influence of Captain Phasma. In the waning days of the Cold War, he hesitated to kill civilians during his first mission and consequently decided to desert after witnessing the massacre of Tuanul. Lacking experience as a pilot, FN-2187 freed a Resistance prisoner, Commander Poe Dameron, who coined the nickname ""Finn"" to supplant the renegade stormtrooper's alphanumeric designation. He then sought his own freedom while forming friendships with the Jakku scavenger Rey and the droid BB-8, as well as the Rebel war heroes Han Solo and Chewbacca.

After the destruction of the New Republic, Finn provided the Resistance with the information they needed to destroy the First Order's superweapon, Starkiller Base. During the attack, he was defeated and nearly killed by the dark warrior Kylo Ren. Rescued by Rey and Chewbacca, Finn recuperated from his injuries and by the time he awoke, the Resistance was forced to evacuate their base on D'Qar. Despite attempting to escape from the conflict once more, a mission with Rose Tico convinced Finn to truly join the Resistance to the extent where he nearly sacrificed his life for their cause during the Battle of Crait in 34 ABY. In 35 ABY, Finn continued assisting the Resistance by joining Rey on the quest to find the Sith wayfinder and destroy the malevolent religion once and for all, eventually becoming a general along with Poe after Leia's passing, with his first mission as a general being spent leading the ground forces during the Battle of Exegol."
Rey,170,54,brown,light,hazel,NA,female,NA,Human,"Rey Skywalker, once known only as Rey, was a human female Jedi Master who fought on the side of the Resistance in the war against the First Order. A former scavenger from the planet Jakku, her life was changed by the tumultuous events of the last days of the New Republic Era. Her decision to help the droid BB-8 would set Rey on a course to discovering the Force that awakened within her, leading her to seek out Jedi Master Luke Skywalker for training. Yet despite her commitment to the Jedi Order and the light side of the Force, Rey felt the pull to the dark side due to her anger and the adversarial relationship she had with Ben Solo, a fallen Jedi whom she knew as the dark warrior Kylo Ren. The unique Force-bond between them was a result of their nature as a dyad in the Force.

Rey was born in 15 ABY during the rise of the New Republic. Her father was a bioengineered Strand-Cast cloned from the genetic template of Darth Sidious, the Sith Lord who ruled the Galactic Empire as Emperor Palpatine. The clone and Rey's mother chose to live as simple junk traders in order to hide their daughter, who inherited Sidious' connection to the Force, from his followers. After the deaths of her parents, Rey was forced to survive on her own in the Jakku desert, and became a skilled mechanic, pilot and combatant in the process. Her isolated life was disrupted shortly before war broke out across the galaxy in 34 ABY. Determined to help the Resistance, Rey gained several new allies including Finn, a renegade stormtrooper, as well as the veterans Han Solo and Chewbacca. In the course of their journey, she discovered her latent Force powers and sought guidance under Skywalker, who taught her the art of the Force despite his decision to end the Jedi legacy. After Skywalker sacrificed himself to save the Resistance, Rey assumed his mantle as the last Jedi and became the apprentice of General Leia Organa.

With the return of Darth Sidious in 35 ABY, Rey set out to find the dark world of Exegol and prevent the Sith from being reborn. It was through Kylo Ren that Rey discovered her origins as the Dark Lord's granddaughter, and upon confronting Sidious in person, she was nearly swayed to the dark side of the Force. However, Rey was saved by Ben Solo after he renounced his dark alter ego. Aided by the spirits of all the Jedi, Rey died vanquishing her grandfather, causing Solo to make the ultimate sacrifice in order to bring Rey back to life. The two embraced and shared a kiss as Solo peacefully vanished in Rey's arms. Although Solo was the last of the Skywalker bloodline, Rey assumed the name ""Skywalker"" to honor their memory, repudiating her own heritage as a Palpatine."
Poe Dameron,NA,NA,brown,light,brown,NA,male,NA,Human,"Poe Dameron was a human male who originally served as a member of the Spice Runners of Kijimi, before becoming a pilot in the New Republic and eventually joining the Resistance, rising to become acting General of the Resistance, during its conflict and subsequent war with the First Order. The son of Lieutenant Shara Bey and Sergeant Kes Dameron of the Alliance to Restore the Republic, Dameron followed in his late mother's footsteps in becoming a pilot, serving the New Republic Defense Fleet as the commander of Rapier Squadron, but grew disillusioned with the Republic's inaction to the First Order's violations of the Galactic Concordance. Dameron defected to the Resistance, where he became one of General Leia Organa's most trusted operatives. Dameron flew under the callsign of Black Leader while piloting his specialized T-70 X-wing starfighter, Black One.

As the conflict with the First Order grew more desperate, Dameron was sent to find Lor San Tekka on Jakku, who had part of a map to locate Organa's brother, Jedi Master Luke Skywalker. Though Dameron entrusted the map to his astromech droid BB-8, he was captured by the First Order and interrogated for the location of the map, eventually being forced to hand over the information. He escaped with the help of a defecting stormtrooper, whom Dameron nicknamed Finn, and returned to the Resistance base on D'Qar on his own. He aided Finn, Rey, Han Solo, and Chewbacca with air support during the Battle of Takodana, and he later flew during the battle to destroy the superweapon known as Starkiller Base. During the battle, after the base was damaged by Solo, Finn, Rey, and Chewbacca, Dameron fired the shots that destroyed the Starkiller weapon, saving the Resistance from certain destruction.

During the subsequent battle of D'Qar, Dameron disobeyed orders and led an attack on the First Order Dreadnought Fulminatrix, but his reckless actions caused him to be demoted from Wing Commander to captain. As the First Order pursued the Resistance by tracking them through hyperspace to the Crait system, Dameron did not approve of the passive strategy of Vice Admiral Amilyn Holdo and worked with Finn and mechanic Rose Tico to break into Supreme Leader Snoke's flagship, the Supremacy, and disable the First Order's hyperspace tracker before eventually staging a mutiny against Admiral Holdo in an effort to buy Finn and Rose time.

However, Dameron and the mutineers had not realized that Holdo's plan was to discreetly transport the Resistance to an abandoned Rebel base on the nearby planet Crait, and his group's actions caused the First Order to discover the Resistance's escape vessels and destroy many of them. Even so, General Organa gave Dameron command after Holdo sacrificed herself, and he led a last-ditch counterattack against the First Order during the Battle of Crait. The counterattack was unsuccessful, but Dameron was able to lead the surviving Resistance fighters while a Force projection of Luke Skywalker distracted Kylo Ren and the First Order, where they found their way to Rey and the Millennium Falcon, allowing them to escape.

After the escape, the group took the brief moment of peace to catch up on recent events, and as he left for the Battle of Grail City, the ace was promoted back to commander. After that, he reflected on what it truly meant to be a member of the Resistance, and how he believed it was about bringing light to dark and saving one's galaxy."
BB8,NA,NA,none,none,black,NA,none,NA,Droid,"BB-8, sometimes spelled and pronounced Beebee-Ate and nicknamed BB, was a BB-series astromech droid who operated approximately thirty years after the Battle of Endor. It had a dome head, similar to that of R2 series astromech droids, with the bulk of its body made up of a ball on which the droid's head rolled. BB-8 was mostly white, with some silver and orange on its body, as well as a black photoreceptor. The droid belonged to Resistance pilot Poe Dameron, whom he accompanied during his flights on his T-70 X-wing starfighter."
Captain Phasma,200,76,gold,light,blue,NA,female,NA,NA,"Phasma was a human female stormtrooper captain of the First Order. Phasma grew up as a member of the Scyre clan on the nuclear-ravaged world of Parnassos. She was a formidable warrior who became the clan's military leader. Seeking passage offworld, Phasma helped the First Order General Brendol Hux find his ship in the process betraying her own brother Keldo and clan. After being rescued, Phasma joined the First Order, abandoning her former life on Parnassos.

Over the years, Phasma rose through the ranks of the First Order and became in charge of their stormtrooper training program. She conspired with Brendol's son General Armitage Hux to assassinate her former benefactor. Phasma also survived an assassination attempt by Brendol's former protege Cardinal, who sought revenge for Brendol's death. Having consolidated her position within the First Order, Phasma became part of an unofficial triumvirate consisting of General Hux and the dark enforcer Kylo Ren.

As a senior officer, Phasma commanded First Order forces in their struggle against the Resistance. Under orders from the Supreme Leader of the First Order, Snoke, the triumvirate searched for a galaxy map that would lead to the last of the Jedi, Luke Skywalker, on the planet Jakku. Phasma participated in a massacre at Tuanul village, an atrocity which led the stormtrooper FN-2187 to defect to the Resistance.

Following the Hosnian Cataclysm, Phasma was ambushed by FN-2187, now with the Resistance as Finn, who had infiltrated Starkiller Base with the smugglers Han Solo and Chewbacca. Surviving the Battle of Starkiller Base, Phasma framed Lieutenant Sol Rivas for the base's destruction and led a mission to hunt down the fugitive in order to conceal her own malfeasance. During the pursuit of the Resistance fleet, Phasma fought with the infiltrator Finn aboard the First Order flagship Supremacy, which had recently been devastated by a hyperspace ramming attack that freed the former stormtrooper. Phasma was defeated by the combined efforts of Finn and his new companion, Rose Tico. Subsequently, the captain fell to her death into a fire that was consuming the stricken ship."
