name,eye_color,gender,species,description
Kahrin Wek,NaN,Female,Rutian,"A [[Sexes/Legends|female]] [[Rutian/Legends|Rutian]] [[Twi'lek/Legends|Twi'lek]], Kahrin Wek joined the [[Republic Military/Legends|Republic Military]] sometime before [[3643 BBY]]. She served on the ruined [[Planet/Legends|planet]] of [[Taris/Legends|Taris]] during the later stages of the [[Cold War (Galactic Republic&amp;ndash;Sith Empire)|Cold War]] with the [[Sith Empire (Post–Great Hyperspace War)|Sith Empire]], where she was stationed at [[Bomber command post|Waypoint Station Draay]].&lt;ref name=""Supplies"" /&gt;Wek served as [[Quartermaster/Legends|quartermaster]] under [[Commander/Legends|Commander]] [[Gardit]], the base's commanding officer. In that role, she ensured that the Republic's forward bases, like [[Border assault post|Waypoint Station Morne]] and [[Lytle Research Outpost]], received the necessary supplies.&lt;ref name=""Supplies"" /&gt; However, Wek suspected her superior to be corrupt&amp;mdash;the [[Human/Legends|human]] used his position to ensure good rations and benefits for himself, while the rest of the base was forced to survive on meager supplies. When one of the base's supply ships was set to leave for the nearest supply depot, Wek noticed that one of the ship's engines was damaged. Gardit, however, dismissed her concerns and allowed the ship to leave.&lt;ref name=""Prove""&gt;{{TORcite|type=bonus|Prove Gardit's Corruption}}&lt;/ref&gt; The ship had barely lifted off when it crashed in a nearby swamp infested with [[bogstalker]]s.&lt;ref name=""Supplies"" /&gt;{{GameLS}}When Gardit asked a Republic-allied individual to help recover the supplies from the downed craft, he sent them to Wek for the location of the crash.&lt;ref name=""Supplies"" /&gt; Informing the individual of her suspicions of Gardit, the Twi'lek convinced the individual to help expose her superior. She gave the individual a holocamera along with the ship's location, telling them to record the damaged engine as evidence.&lt;ref name=""Prove"" /&gt;The individual succeeded, recovering all of the supplies that remained,&lt;ref name=""Supplies"" /&gt; and returned to Wek with the evidence she needed. She and the individual then confronted Gardit, who shamefacedly told the pair that he had not realized the ship was that badly damaged&amp;mdash;he thought it could make it to the nearest refueling station. Regardless, Wek planned to court-martial the commander, and thanked the individual for the help.&lt;ref name=""Prove"" /&gt;She also asked them to investigate the fates of the supply convoy that the base had sent to Waypoint Station Morne a week ago. The convoy's crew had not reported anything, and Morne had not received the supplies. She told the individual how to repair the sonic emitters along the trail, which would drive off much of the aggressive wildlife, and gave them the last known location of the convoy. The individual would eventually find the convoy, who had decided to desert, and aided them in getting off-planet.&lt;ref name=""AWOL""&gt;{{TORcite|type=faction|Republic|AWOL|Taris}}&lt;/ref&gt;{{Endgame}}"
Wintag,NaN,Female,Human,"A human female, Wintag began working for the [[Galactic Republic/Legends|Galactic Republic]] as an archivist during the [[Cold War (Galactic Republic&amp;ndash;Sith Empire)|Cold War]] with the [[Sith Empire (Post–Great Hyperspace War)|Sith Empire]]. Stationed on [[Taris/Legends|Taris]], Wintag was working on the Republic Tarisian Archival Database, but she was allergic to something in the air. While based at [[Border assault post|Waypoint Station Morne]], her sickness prevented her from exploring actively herself. She hired a Republic-allied individual to investigate for her. She was searching for the Tarisian government's archive, which was lost in the bombardment, but she finally managed to locate it. The area was overrun with rakghouls, however, and the hero was forced to battle their way through to the archive. The individual discovered that the archive was in fact the members of the government themselves, frozen in carbonite. The individual would inform Wintag's assistant [[Tiffan Nye]] in [[Olaris]] of the discovery, who began gathering a team to access the archive.&lt;ref name=""TOR"" /&gt;"
Kora Ryo,Black,Female,Twi'lek,"{{Quote|There's not much left to work with, but from size alone, I can tell you it is not one of our sleeper ships. Too massive.''""&lt;br /&gt;""''What of the crew, Kora?''""&lt;br /&gt;""''Nothing. Both ship and crew are unlike anything ever seen before in the Tython system. Be wary, Hawk. Since that ship crashed, all of the temples have been reporting unusual weather.|Kora Ryo and her brother-in-law, Ranger Hawk Ryo|Dawn of the Jedi: Force Storm 2}}A [[Force-sensitive/Legends|Force-sensitive]] [[Twi'lek/Legends|Twi'lek]] [[Sexes/Legends|female]]&lt;ref name=""DOTJ 0"" /&gt; from the [[Planet/Legends|planet]] [[Shikaakwa]],&lt;ref name=""DOTJ 7"" /&gt; Kora was found to be [[Force-sensitive/Legends|Force-sensitive]] and sent to the planet [[Tython/Legends|Tython]] where she was trained by the [[Je'daii Order]] and became a [[Je'daii Master]]. The [[Je'daii Ranger]] [[Hawk Ryo]] introduced Kora to his older brother [[Volnos Ryo]], a member of Shikaakwa's [[Clan Ryo]], one of the [[Nine Houses]] of Shikaakwa and the two fell in love and were [[Marriage/Legends|married]] not long afterwards. Volnos lived a life of study and travel, and Kora bore him a daughter named [[Tasha Ryo|Tasha]].&lt;ref name=""DOTJ 0"" /&gt; However, when Volnos became [[Baron/Legends|Baron]] of Clan Ryo after his [[Volnos Ryo's father|father's]] [[Death/Legends|death]] in [[25,805 BBY]] during the [[Despot War]] between the [[Despot Queen]] [[Hadiya]] and the Je'daii, Kora dissolved their marriage according to Je'daii law and moved back to Tython with her daughter, as she was disgusted by her husband's new role as a [[Crime lord/Legends|crime lord]].&lt;ref name=""DOTJ 7"" /&gt; By the [[Standard year/Legends|year]] [[25,793 BBY]], Kora Ryo had become the [[Je'daii Temple Master|Temple Master]] of [[Kaleth]], the [[Je'daii Temples|Temple]] of Knowledge.&lt;ref name=""DOTJ 0"" /&gt; Most nights, Ryo meditated before the setting [[Star/Legends|sun]] [[Tythos]].&lt;ref name=""DOTJ 7"" /&gt;[[File:Kora thinking.png|thumb|left|140px|Kora Ryo in Kaleth]]When an [[Devourer (Rakatan ship)|unknown ship]] crashed on Tython, [[Je'daii Ranger]]s [[Rori Fenn]] and [[Hawk Ryo]] were dispatched with Temple Master [[Quan-Jang]] to investigate the crash, and Master Ryo analyzed their ships's readings as the three scouted the crash site. From the data, Ryo was able to determine that the ship was far larger than any of the [[Tythan]] [[Sleeper ship/Legends|sleeper ships]], and both the crew and the ship were foreign to the [[Tython system]]. Analyzing reports from the other temples, Ryo also realized that a powerful [[Force storm (weather)|Force Storm]] was growing across Tython.&lt;ref name=""DOTJ 3"" /&gt; As the storm grew in strength, Temple Master [[Ketu]] summoned the other Temple Masters of the [[Je'daii Council]] in a [[Hologram/Legends|holoconference]] across Tython, where Ryo informed the other Temple Masters that her research showed that the current storm was of the same strength as the one that had occurred on the day of the [[Tho Yor Arrival]] thousands of years earlier.&lt;ref name=""DotJ4""&gt;''[[Dawn of the Jedi: Force Storm 4]]''&lt;/ref&gt;When questioned by Master [[Ruhr]], Ryo voiced her belief that the storm had been caused by the crash of the unknown ship. Kora was alarmed to learn that her daughter Tasha was one of three [[Je'daii Journeyer]]s who were pursuing the [[Tau (individual)|lone survivor]] of the crash into the [[Rift]], an enormous ravine on Tython.&lt;ref name=""DotJ4"" /&gt; Shortly afterward, as the storm continued to grow in strength, Ryo joined with the other Temple Masters through [[The Force/Legends|the Force]] and aided Quan-Jang in shifting the balance of the Force on Tython, dissipating the storm's fury. After the threat of the storm had passed, the Council convened to judge the case of the survivor, a powerful [[Dark side of the Force/Legends|dark side]] warrior named Xesh, and they decided to exile him to the [[Moon/Legends|moon]] of [[Bogan]] so he could regain his balance.&lt;ref name=""DOTJ 5""&gt;''[[Dawn of the Jedi: Force Storm 5]]''&lt;/ref&gt;Several [[Standard week/Legends|weeks]] later, Kora was attempting to meditate at sunset at Kaleth, but her meditations were interrupted by a holocall from Volnos, who demanded that she forsake the Je'daii and return to Shikaakwa with their daughter as she was still his wife by Shikaakwan law. However, Kora refused, countering that she had dissolved their marriage according to Je'daii law, and she reminded Volnos that his status as a crime lord prevented their family from ever being together. Several days later, after the mad Je'daii [[Daegen Lok]] had been recaptured after his escape from Bogan, Ryo and the other Masters met in conference to sentence Lok. The insane Je'daii demanded that the Masters force his friend [[Hawk Ryo]] to confess what he had seen in the [[Chasm]], a rift in Tython's surface that caused nightmarish hallucinations and was the cause of Lok's insanity.&lt;ref name=""DOTJ 10""&gt;''[[Dawn of the Jedi: The Prisoner of Bogan 5]]''&lt;/ref&gt;"
Che'nash,NaN,Female,Geranite,"Che'nash was a part of a mercenary team, hired by the Sith Empire and deployed to the [[Planet/Legends|planet]] [[Ilum/Legends|Ilum]] at the end of the Cold War. Her team was tasked with uncovering information on a [[Galactic Republic/Legends|Republic]] operation code named ""[[Battle of Ilum|Shatterstorm]]"", which involved the Republic's [[Talz/Legends|Talz]] commandos. However, they were unable to complete their mission alone, and were forced to seek the help of other Imperial operatives.&lt;ref name=""TOR1"" /&gt;"
Hilma Kim,NaN,Female,NaN,"Kim was a descendant of [[Sélima Kim]] and, with her [[Twin/Legends|twin]] brother [[Sven Kim|Sven]], the heir of the [[Sélima Kim (organization)|familial business]]. As her brother, she was beautiful, arrogant and ruthless.A majority of the Sélima Kim members and residents didn't know who she was, regarding her as a mere [[Pirate/Legends|pirate]]. She always used the spy network of the base to spot the better business and join the raids with the ''[[Bloodthirsty]]'', her starship.Some in the organization thought that Hilma and her brother could have shared more than a fraternal relationship."
Urinth,NaN,Female,Human,"She resided in the [[Sith Academy (Korriban)|Sith Academy]] on [[Korriban]], and represented the Intelligence Operations of the Sith. Once she told an [[Sith Acolyte|acolyte]] that she had captured a [[Quorian Dorjis|Jedi]] trying to infiltrate the Academy. Through sorcery and drugs, she manipulated his mind so when he returned to the Order he would unknowingly feed false information to the [[Galactic Republic/Legends|Republic]]. The information was supposed to lead some Outer Rim colonies to reduce their defenses, so the Sith could destroy them. To bring the information to the Republic, the acolyte had to gain the Jedi's trust and then secretly release him so he'd escape without questioning."
Isila Drutch,NaN,Female,NaN,"{{Quote|Four years later I walked the edge and earned my white hat&amp;mdash;now I wasn't Drutch anymore but TD-4388, 291st Legion Dalisor.|Isila Drutch on becoming a stormtrooper|The Essential Guide to Warfare}}Isila Drutch, a [[Sexes/Legends|female]], was from the [[New Territories/Legends|New Territories]] [[Planet/Legends|planet]] of [[Parshoone]],&lt;ref name=""Warfare"" /&gt; and was born prior to [[10 BBY/Legends|10 BBY]].&lt;ref name=""Note"" /&gt; Her [[Isila Drutch's father|father]] served on the [[Galactic Republic/Legends|Galactic Republic]] [[Tector-class Star Destroyer/Legends|''Tector''-class Star Destroyer]] [[Archer (Tector-class)|''Archer'']] at the end of the [[Clone Wars/Legends|Clone Wars]], a conflict between the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]] and the Republic, which would later be transformed into the [[Galactic Empire/Legends|Galactic Empire]]. Even though her [[Parent/Legends|father]] talked about his [[Navy/Legends|navy]] [[Standard day/Legends|days]], Drutch was one for [[Ground warfare|solid ground]]. She grew up drawing fortifications and arranging skirmish lines instead of playing with [[Tooka doll/Legends|Tooka dolls]].&lt;ref name=""Warfare"" /&gt;As Drutch grew up, she was never idle and worked with the rest of the Parshoone inhabitants. At the age of seventeen, she applied to the Imperial-aligned [[Parshoone Sector Service Academy]] where she trained in an [[Army/Legends|army]] concentration. After her first [[Standard year/Legends|year]] there, Drutch was at the top of her class, which caused the [[Parshoone Service Academy commandant|commandant]] to offer to sponsor her at the prestigious [[Raithal Academy/Legends|Raithal Academy]]. Drutch instead asked for an alternative: the equally prestigious [[Academy of Carida]]. A [[Unidentified Imperial officer (Carida Academy)|major]] was sent out from [[Carida/Legends|Carida]] to assess Drutch, and took her through three [[Standard day/Legends|days]] of very hard training, with Drutch not being able to [[Sleep/Legends|sleep]] during the whole test. The [[Major/Legends|major]], having finished assessing her, approved her transfer to Carida. Drutch later arrived on Carida, and although she had to put up with the strange looks shot at her because she was female, they later subsided because she had proven herself as fit as any of them.&lt;ref name=""Warfare"" /&gt;After four years of training, Drutch became a part of the [[Stormtrooper Corps/Legends|Stormtrooper Corps]] as she joined the [[291st Legion Dalisor]], and was given the designation TD-4388. She became the first female [[Stormtrooper/Legends|stormtrooper]] in her [[Company/Legends|company]], though there were two others in her [[Legion/Legends|legion]]; [[TD-5144]] and [[TD-1123]]. While in the 291st, Drutch shared the [[Barracks/Legends|barracks]] with the men even though she was female. Sometime after becoming a stormtrooper, Drutch was on leave in a low-quality [[Unidentified cantina (Isila Drutch)|cantina]] when some members of her squad pointed out a poster of a female stormtrooper in femtrooper gear, an overly feminized version of stormtrooper armor, to Drutch, and asked why Drutch was not in the right gear. This incident caused Drutch to laugh. In [[33 ABY/Legends|33 ABY]], Drutch was still with the 291st, though the Empire had been replaced with the [[Imperial Remnant]], and she had a set of memoirs documenting her life.&lt;ref name=""Warfare"" /&gt;"
Kasi Sha'Rhil,NaN,Female,Human,"A [[Force-sensitive/Legends|Force-sensitive]] [[Human/Legends|Human]], Kasi Sha'Rhil was [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]]. Studying at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]] as an [[Jedi Initiate|Initiate]], Sha'Rhil ascended to the rank of [[Padawan/Legends|Padawan]] after the [[Trade Federation of Planets|Trade Federation's]] [[Invasion of Naboo/Legends|invasion]] of [[Naboo/Legends|Naboo]] and the reemergence of the [[Sith/Legends|Sith]]. Assigned to a [[Jedi Master/Legends|Jedi Master]] to continue training, Sha'Rhil constructed a [[blue]]-bladed [[Lightsaber/Legends|lightsaber]] to wield throughout her career.&lt;ref name=""KSW"" /&gt;In response to the Sith's reappearance the [[Jedi High Council/Legends|Jedi High Council]] announced that it would open several [[Jedi outpost|outposts]] across [[The galaxy/Legends|the galaxy]] for supplemental group training. Assigning Padawan Sha'Rhil to [[Kashyyyk/Legends|Kashyyyk]], the High Council placed [[Jedi Master/Legends|Jedi Master]] [[Mavra Zane]] in command of her and a number of other students to travel to the [[Wookiee/Legends|Wookiee]] homeworld aboard a [[Unidentified Consular-class cruiser (Mavra Zane)|''Consular''-class cruiser]]. Upon the group's arrival, the students were greeted by [[Grand Master/Legends|Grand Master]] [[Yoda/Legends|Yoda]] the [[Jedi Watchman|Watchman]] of Kashyyyk, along with Masters [[Mace Windu/Legends|Mace Windu]] and [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]]. Upon settling in at the new [[Jedi outpost (Kashyyyk)|chapter house]], the classes quickly began and the Padawan's continued on their path to knowledge.&lt;ref name=""KSW"" /&gt;During Sha'Rhil's time on the planet, the armies of the [[Commerce Guild/Legends|Commerce Guild]], combined with [[Trandoshan/Legends|Trandoshan]] [[Slavery/Legends|slavers]], [[Attack on Kashyyyk|attacked]] the planet and the Wookiee village near the chapter house. Rallying behind Masters Yoda and Zane, the apprentices were able to repel the Trandoshans with few casualties. Following Master Yoda's departure, the students were attacked again. This time, Master Zane and several students were captured while the chapter house and most of the apprentices were killed. Sha'Rhil, among the survivors, eventually found herself above [[Felucia/Legends|Felucia]] on the Commerce Guild's [[Capital ship/Legends|capital ship]], the ''[[Providence]]''. After the Padawans and Zane were freed from captivity, the Jedi managed to escape aboard the ''[[Star Runner]]'' and make an emergency landing on the planet below. Joining with [[Mak Pra]] and the [[Felucian/Legends|Felucian]] [[Rebellion on Felucia|resistance movement]], Sha'Rhil and her companions attempted to capture Commerce Guild Presidente [[Shu Mai/Legends|Shu Mai]] and prevent her from [[Trihexalon attack on Coruscant|attacking]] Coruscant with [[Trihexalon]] missiles. The Jedi rushed to Coruscant and smashed the Commerce Guild's fleet, ending the crisis and saving Coruscant.&lt;ref name=""KSW"" /&gt;"
Fenella Druce,NaN,Female,Human,"A [[Force-sensitive/Legends|Force-sensitive]] [[Human/Legends|Human]], Fenella Druce was [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]]. Studying at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]] as an [[Jedi Initiate|Initiate]], Druce ascended to the rank of [[Padawan/Legends|Padawan]] after the [[Trade Federation of Planets|Trade Federation's]] [[Invasion of Naboo/Legends|invasion]] of [[Naboo/Legends|Naboo]] and the reemergence of the [[Sith/Legends|Sith]]. Assigned to a [[Jedi Master/Legends|Jedi Master]] to continue training, Druce constructed a [[Color/Legends|green]]-bladed [[Lightsaber/Legends|lightsaber]] to wield throughout her career.&lt;ref name=""KSW"" /&gt;In response to the Sith's reappearance the [[Jedi High Council/Legends|Jedi High Council]] announced that it would open several [[Jedi outpost]]s across [[The galaxy/Legends|the galaxy]] for supplemental group training. Assigning Padawan Druce to [[Kashyyyk/Legends|Kashyyyk]], the High Council placed [[Jedi Master/Legends|Jedi Master]] [[Mavra Zane]] in command of her and a number of other students to travel to the [[Wookiee/Legends|Wookiee]] homeworld aboard a [[Unidentified Consular-class cruiser (Mavra Zane)|''Consular''-class cruiser]]. Upon the group's arrival, the students were greeted by [[Grand Master/Legends|Grand Master]] [[Yoda/Legends|Yoda]] the [[Jedi Watchman|Watchman]] of Kashyyyk, along with Masters [[Mace Windu/Legends|Mace Windu]] and [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]]. Upon settling in at the new [[Jedi outpost (Kashyyyk)|outpost]], the classes quickly began and the Padawan's continued on their path to knowledge.&lt;ref name=""KSW"" /&gt;During Druce's time on the planet, the armies of the [[Commerce Guild/Legends|Commerce Guild]], combined with [[Trandoshan/Legends|Trandoshan]] [[Slavery/Legends|slavers]], [[Attack on Kashyyyk|attacked]] the planet and the Wookiee village near the outpost. Rallying behind Masters Yoda and Zane, the apprentices were able to repel the Trandoshans with few casualties. Following Master Yoda's departure, the students were attacked again. This time, Master Zane and several students were captured while the chapter house was destroyed and most of the apprentices were killed. Druce, among the survivors, eventually found herself above [[Felucia/Legends|Felucia]] on the Commerce Guild's [[Capital ship/Legends|capital ship]], the ''[[Providence]]''. After the Padawans and Zane were freed from captivity, the Jedi managed to escape aboard the ''[[Star Runner]]'' and make an emergency landing on the planet below. Joining with [[Mak Pra]] and the [[Felucian/Legends|Felucian]] [[Rebellion on Felucia|resistance movement]], Druce and her companions attempted to capture Commerce Guild President [[Shu Mai/Legends|Shu Mai]] and prevent her from [[Trihexalon attack on Coruscant|attacking]] Coruscant with [[Trihexalon]] missiles. The Jedi rushed to Coruscant and smashed the Commerce Guild's fleet, ending the crisis and saving Coruscant.&lt;ref name=""KSW"" /&gt;"
Ara Barotta,Brown,Female,Twi'lek,"A [[Force-sensitive/Legends|Force-sensitive]] [[Twi'lek/Legends|Twi'lek]], Ara Barotta was [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]]. Studying at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]] as an [[Jedi Initiate|Initiate]], Barotta ascended to the rank of [[Padawan/Legends|Padawan]] after the [[Trade Federation of Planets|Trade Federation's]] [[Invasion of Naboo/Legends|invasion]] of [[Naboo/Legends|Naboo]] and the reemergence of the [[Sith/Legends|Sith]]. Assigned to a [[Jedi Master/Legends|Jedi Master]] to continue training, Barotta constructed a [[Color/Legends|blue]]-bladed [[Lightsaber/Legends|lightsaber]] to wield throughout her career.&lt;ref name=""KSW"" /&gt;In response to the Sith's reappearance the [[Jedi High Council/Legends|Jedi High Council]] announced that it would open several [[Jedi outpost]]s across [[The galaxy/Legends|the galaxy]] for supplemental group training. Assigning Padawan Barotta to [[Kashyyyk/Legends|Kashyyyk]], the High Council placed [[Jedi Master/Legends|Jedi Master]] [[Mavra Zane]] in command of her and a number of other students to travel to the [[Wookiee/Legends|Wookiee]] homeworld aboard a [[Unidentified Consular-class cruiser (Mavra Zane)|''Consular''-class cruiser]]. Upon the group's arrival, the students were greeted by [[Grand Master/Legends|Grand Master]] [[Yoda/Legends|Yoda]] the [[Jedi Watchman|Watchman]] of Kashyyyk, along with Masters [[Mace Windu/Legends|Mace Windu]] and [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]]. Upon settling in at the new [[Jedi outpost (Kashyyyk)|outpost]], the classes quickly began and the Padawan's continued on their path to knowledge.&lt;ref name=""KSW"" /&gt;During Barotta's time on the planet, the armies of the [[Commerce Guild/Legends|Commerce Guild]], combined with [[Trandoshan/Legends|Trandoshan]] [[Slavery/Legends|slavers]], [[Attack on Kashyyyk|attacked]] the planet and the Wookiee village near the outpost. Rallying behind Masters Yoda and Zane, the apprentices were able to repel the Trandoshans with few casualties. Following Master Yoda's departure, the students were attacked again. This time, Master Zane and several students were captured while the chapter house and most of the apprentices were killed. Barotta, among the survivors, eventually found herself above [[Felucia/Legends|Felucia]] on the Commerce Guild's [[Capital ship/Legends|capital ship]], the ''[[Providence]]''. After the Padawans and Zane were freed from captivity, the Jedi managed to escape aboard the ''[[Star Runner]]'' and make an emergency landing on the planet below. Joining with [[Mak Pra]] and the [[Felucian/Legends|Felucian]] [[Rebellion on Felucia|resistance movement]], Barotta and her companions attempted to capture Commerce Guild President [[Shu Mai/Legends|Shu Mai]] and prevent her from [[Trihexalon attack on Coruscant|attacking]] Coruscant with [[Trihexalon]] missiles. The Jedi rushed to Coruscant and smashed the Commerce Guild's fleet, ending the crisis and saving Coruscant.&lt;ref name=""KSW"" /&gt;"
Elana Thul,NaN,Female,Human,"{{GameDS}}When [[Darth Nox|Kallig]] visited [[Alderaan/Legends|Alderaan]] in search for an ancient artifact of [[Tulak Hord]], Elana aided Kallig and gave the apprentice much intel of the enemies of House Thul and the Sith Empire. While Kallig was searching for the artifact, Elana asked the Inquisitor to help raid the [[House of Organa/Legends|House of Organa]].{{Endgame}}{{Char-stub}}"
Sophia Farash,NaN,Female,Human,"A [[Force-sensitive/Legends|Force-sensitive]] [[Sexes/Legends|female]] [[Human/Legends|Human]], Sophia Farash was brought to the [[Vitiate|Sith Emperor]] during her childhood, who impregnated her with his dark essence turning Farash into one of his [[Children of the Emperor]].{{GameLS}}During the war between the [[Galactic Republic/Legends|Republic]] and the [[Sith Empire (Post–Great Hyperspace War)|Sith Empire]], Sophia was an [[Ambassador/Legends|Ambassador]] of the [[Galactic Republic/Legends|Republic]] on [[Voss]], where she became a noble friend to [[Gaden-Ko]], a [[Voss Mystics|Mystic in training]]. She eventually helped the [[The Barsen'thor|Barsen'thor]] when the young [[Jedi Consular]] arrived on Voss in search of an alliance against the Empire, suggesting that the Barsen'thor help her friend Gaden-Ko in his training to gain the trust of the [[Voss (species)|Voss]]. However, when Gaden-Ko came back with the Barsen'thor to ally with the Republic, Sophia met them with two [[Sith Acolyte]]s by her side and revealed herself to be a child of the Sith Emperor.Gaden-Ko was clueless as to why she betrayed him and the [[Jedi/Legends|Jedi]], but Sophia told him not to worry, and that his true destiny was just the beginning. She and the acolytes engaged the Barsen'thor, but the Jedi took the upper hand and defeated them in combat. Sophia was wounded and was surprised how the strong the Jedi was in the [[Light side of the Force/Legends|light side]], since as a child she believed that the dark side was the true power. Sophia revealed to Barsen'thor that she was hoping the pilgrimage would test Gaden-Ko's power, and hopefully result in the Barsen'thor's death. She feared that the [[Syo Bakarn|First Son]] would kill her for her failure, but the Barsen'thor believed that they could save her from the First Son's wrath and tried to convince her to let go of the [[Dark side of the Force/Legends|dark side]].Sophia then explained to the Jedi about how the First Son served the Emperor. At this moment, Gaden-Ko said that he was upset that his own friend betrayed him. Sophia apologized for her actions, saying she wanted to save him and allow the people of Voss to serve the Emperor and Sith Empire. She was taken into custody by the Voss officers, who said she would be forced to take the [[Step of Harmony]], a Voss sentence where a criminal would fall off the top of the mountain of [[Voss-Ka]]. Despite the Barsen'thor's argument that the sentence was barbaric, Sophia was taken away.{{Endgame}}However, before her sentence could be carried out, Sophia overpowered the [[Voss commandos]] escorting her and escaped.&lt;ref name=""Nathema""&gt;{{TORcite|type=flashpoint|The Nathema Conspiracy}}&lt;/ref&gt;"
Unidentified Handmaiden 1,NaN,Female,Human,She and another handmaiden worked for [[Confederacy of Independent Systems|Separatist]] [[Mina Bonteri/Legends|Mina Bonteri]] and helped [[Padawan/Legends|Padawan]] [[Ahsoka Tano/Legends|Ahsoka Tano]] and [[Senator/Legends|Senator]] [[Padmé Amidala/Legends|Padmé Amidala]] get past the droid controls by distracting the [[B1 battle droid/Legends|droid's]] attention. She was later seen traveling with Bonteri to [[Mina Bonteri's house/Legends|her house]].
Unidentified Handmaiden 2,NaN,Female,Human,She and another handmaiden worked for [[Confederacy of Independent Systems/Legends|Separatist]] [[Mina Bonteri/Legends|Mina Bonteri]] and helped [[Padawan/Legends|Padawan]] [[Ahsoka Tano/Legends|Ahsoka Tano]] and [[Senator/Legends|Senator]] [[Padmé Amidala/Legends|Padmé Amidala]] get past the droid controls by distracting the [[B1 battle droid/Legends|droid's]] attention. She was later seen traveling with Bonteri to [[Mina Bonteri's house/Legends|her house]].
Travi Pott,NaN,Female,Human,"{{Quote|Let me put it this way: I've been on Ord Mantell six months. I've lost two fingers, six squad-mates and more credits than I want to think about.|Travi Pott|Star Wars: The Old Republic}}[[File:TraviPott2-TOR.png|thumb|left|180px|Sergeant Pott looking over a potential recruit]]A [[Human/Legends|Human]] [[Sexes/Legends|female]], Travi Pott was a [[Republic soldier|soldier]] who served in the [[Republic Army]] during the [[Cold War (Galactic Republic&amp;ndash;Sith Empire)|Cold War]], a period of unrest between the [[Galactic Republic/Legends|Galactic Republic]] and the [[Sith Empire (Post–Great Hyperspace War)|Sith Empire]].&lt;ref name=""Destroy the Beacons"" /&gt; By the [[Standard year/Legends|year]] [[3643 BBY]],&lt;ref name=""Date""&gt;{{TOR_dates}}&lt;/ref&gt; Pott had attained the [[Military rank/Legends|rank]] of [[Sergeant/Legends|sergeant]] and had been mistakenly sent to fight in&lt;ref name=""Destroy the Beacons"" /&gt; the [[Separatist War]]&lt;ref name=""War""&gt;{{TORcite|type=message|Date night|Doc}} identifies the conflict as the ""[[Separatist War]].""&lt;/ref&gt; between a [[Mantellian Separatist Movement|Separatist Movement]] and the Republic-backed [[Ord Mantell Central Authority|government]] on the [[Planet/Legends|planet]] [[Ord Mantell/Legends|Ord Mantell]].&lt;ref name=""Destroy the Beacons"" /&gt;Pott was eventually stationed on the island of [[Avilatan]] and tasked by her [[Unidentified Republic officer|commanding officer]] with leading a [[Travi Pott's squad|squad]] to destroy several Separatist [[Jammer|jamming beacons]] on [[Savrip Island]], a smaller island just off Avilatan's coast. The beacons were jamming the [[Navigation computer/Legends|navigation systems]] on Republic supply [[Starship/Legends|ships]], which caused many of them to crash upon their approach to the island. Pott and her squad made several efforts to take out the beacons, but their attempts were unsuccessful due to the presence of [[Mine/Legends|mines]], Separatist forces, and dangerous beasts known as [[Mantellian Savrip/Legends|Savrips]]. During the fighting, Pott's squad [[Death/Legends|lost]] six members, while half of the squad received life-threatening burns, and Pott lost two [[Limb/Legends|fingers]] and a large amount of [[Galactic Credit Standard|credits]]. In addition to the heavy losses suffered by her forces, Pott also had difficulties with her equipment, which was not [[Water/Legends|waterproofed]].&lt;ref name=""Destroy the Beacons"" /&gt;At some point during 3643 [[Galactic Standard Calendar|BBY]],&lt;ref name=""Date"" /&gt; Pott gave up trying to use her squad to destroy the beacons due to the heavy casualties her [[unit]] had suffered. Instead, she took up position near a [[Medical droid/Legends|medical droid]] on the shore of [[Avilatan]] within sight of Savrip Island. By that [[Time/Legends|time]], she had become bitter and sarcastic about her situation and believed that her [[Commanding officer/Legends|commanding officer]] was incompetent. However, Pott had gained access to some discretionary funds and decided that it would be better to hire someone to take out the beacons for her.&lt;ref name=""Destroy the Beacons"" /&gt;{{Gamemechanics}}Eventually, after being on Ord Mantell for six [[Standard month/Legends|months]], Pott enticed at least one individual who was affiliated with the Republic to venture onto the island and take out the jamming beacons using data and maps that she supplied. With the beacons destroyed and the threat to the Republic supply ships ended, Pott expressed surprise at the successful completion of the assignment and distributed the promised rewards to the involved party. Following the destruction of the beacons, she decided to hold her position until the Republic gave her a new assignment.&lt;ref name=""Destroy the Beacons"" /&gt;{{Endgame}}"
